Date,Num1,Num2,Num3,Num4,Num5,Num6
2018-12-21,1,7,16,27,29,34
2018-12-23,1,3,10,11,16,44
2018-12-26,21,28,34,35,41,44
2018-12-28,3,22,24,25,31,37
2018-12-30,10,19,31,35,42,44
2019-01-02,4,14,32,35,36,40
2019-01-04,1,8,14,16,19,22
2019-01-06,9,22,33,34,35,44
2019-01-09,17,27,28,30,33,41
2019-01-11,19,21,22,23,25,44
2019-01-13,1,20,21,23,26,33
2019-01-16,1,8,14,24,31,40
2019-01-18,12,15,19,38,40,45
2019-01-20,8,16,21,31,35,38
2019-01-23,2,9,13,29,33,40
2019-01-25,11,13,14,22,30,38
2019-01-27,9,11,12,22,27,29
2019-01-30,1,4,6,13,37,41
2019-02-01,3,4,6,38,39,43
2019-02-03,1,2,5,9,23,24
2019-02-06,22,24,25,30,33,38
2019-02-08,11,12,33,36,39,43
2019-02-10,1,11,17,25,29,35
2019-02-13,5,11,18,33,37,41
2019-02-15,3,22,26,27,30,44
2019-02-17,11,12,14,25,29,31
2019-02-20,1,10,15,24,37,45
2019-02-22,7,10,18,25,44,45
2019-02-24,1,7,13,23,32,42
2019-02-27,5,12,15,16,25,35
2019-03-01,15,23,29,31,38,43
2019-03-03,1,13,17,20,30,45
2019-03-06,2,7,14,24,40,41
2019-03-08,4,14,20,27,32,43
2019-03-10,5,24,31,32,42,45
2019-03-13,5,16,24,26,34,44
2019-03-15,5,10,15,19,38,42
2019-03-17,5,6,16,18,24,42
2019-03-20,2,7,17,24,29,37
2019-03-22,1,3,6,13,18,41
2019-03-24,5,17,21,27,34,40
2019-03-27,9,12,22,24,30,42
2019-03-29,2,19,26,27,30,37
2019-03-31,3,5,19,28,31,38
2019-04-03,4,11,18,33,34,45
2019-04-05,2,7,25,36,38,43
2019-04-07,8,10,26,28,32,34
2019-04-10,7,11,14,30,35,42
2019-04-12,3,12,15,16,17,44
2019-04-14,4,13,20,34,35,37
2019-04-17,7,11,21,25,30,44
2019-04-19,1,4,5,12,17,21
2019-04-21,8,11,13,20,41,43
2019-04-24,4,7,12,13,20,45
2019-04-26,1,2,14,15,16,30
2019-04-28,4,24,28,30,33,43
2019-05-01,18,23,24,27,33,41
2019-05-03,1,6,14,31,35,44
2019-05-05,13,27,30,38,39,41
2019-05-08,1,7,8,31,34,45
2019-05-10,5,23,25,30,35,38
2019-05-12,1,8,13,17,21,43
2019-05-15,17,28,29,33,34,35
2019-05-17,6,16,18,29,39,43
2019-05-19,2,11,19,27,30,42
2019-05-22,1,13,16,22,23,35
2019-05-24,2,3,31,33,35,40
2019-05-26,11,12,14,23,29,32
2019-05-29,12,18,19,27,35,42
2019-05-31,5,6,7,12,23,30
2019-06-02,2,5,12,35,41,43
2019-06-05,4,8,22,25,37,39
2019-06-07,11,13,15,26,27,41
2019-06-09,2,6,22,25,35,36
2019-06-12,10,11,21,23,26,37
2019-06-14,2,12,16,36,37,45
2019-06-16,6,7,19,29,31,36
2019-06-19,2,4,11,15,35,40
2019-06-21,1,4,19,21,23,39
2019-06-23,3,8,11,27,32,36
2019-06-26,1,5,9,10,33,41
2019-06-28,11,25,37,40,41,45
2019-06-30,5,20,22,25,28,32
2019-07-03,2,7,25,29,39,45
2019-07-05,19,21,30,31,37,43
2019-07-07,2,18,21,23,30,31
2019-07-10,1,2,6,7,16,27
2019-07-12,16,18,24,26,40,44
2019-07-14,2,3,7,25,33,34
2019-07-17,10,11,16,22,28,35
2019-07-19,9,12,23,26,28,43
2019-07-21,7,8,10,24,33,44
2019-07-24,20,22,25,39,44,45
2019-07-26,5,14,16,22,25,33
2019-07-28,5,14,16,24,42,43
2019-07-31,6,12,15,19,25,45
2019-08-02,11,18,20,22,25,26
2019-08-04,6,10,21,30,43,45
2019-08-07,1,5,13,31,32,43
2019-08-09,11,19,26,28,30,42
2019-08-11,1,4,7,9,25,31
2019-08-14,13,20,22,24,33,34
2019-08-16,6,14,15,19,31,39
2019-08-18,2,7,18,21,24,33
2019-08-21,6,8,17,20,21,31
2019-08-23,6,7,12,17,19,24
2019-08-25,7,8,15,20,24,31
2019-08-28,1,4,12,14,19,30
2019-08-30,5,6,22,23,25,44
2019-09-01,5,7,14,16,29,40
2019-09-04,1,9,11,23,30,37
2019-09-06,2,4,13,15,26,31
2019-09-08,6,9,11,26,28,36
2019-09-11,21,25,29,32,34,35
2019-09-13,2,15,17,25,30,38
2019-09-15,8,9,28,33,35,43
2019-09-18,3,9,13,17,19,20
2019-09-20,7,12,24,29,31,45
2019-09-22,3,6,21,36,38,39
2019-09-25,9,14,22,26,44,45
2019-09-27,6,9,11,28,37,44
2019-09-29,2,9,12,18,21,23
2019-10-02,2,6,7,25,28,41
2019-10-04,2,9,24,25,30,36
2019-10-06,1,6,17,30,44,45
2019-10-09,3,12,21,24,28,32
2019-10-11,6,12,14,27,28,36
2019-10-13,6,22,28,31,37,40
2019-10-16,1,4,23,28,41,42
2019-10-18,4,14,15,22,28,39
2019-10-20,1,3,8,15,38,40
2019-10-23,2,9,21,23,32,41
2019-10-25,4,7,9,22,32,37
2019-10-27,1,19,29,30,40,42
2019-10-30,2,5,8,12,29,38
2019-11-01,6,11,20,30,37,40
2019-11-03,28,30,32,38,44,45
2019-11-06,3,15,22,23,38,43
2019-11-08,4,16,19,30,32,44
2019-11-10,4,14,21,28,32,36
2019-11-13,17,19,24,30,31,40
2019-11-15,2,13,27,33,40,41
2019-11-17,6,7,14,31,39,44
2019-11-20,10,21,22,24,43,44
2019-11-22,1,9,10,19,30,38
2019-11-24,5,21,24,28,29,34
2019-11-27,3,5,13,19,20,33
2019-11-29,14,15,16,17,19,34
2019-12-01,3,14,16,27,31,35
2019-12-04,16,19,24,30,32,35
2019-12-06,2,20,26,35,43,45
2019-12-08,12,20,30,31,34,44
2019-12-11,1,2,8,27,29,39
2019-12-13,2,8,9,25,26,40
2019-12-15,3,13,15,16,22,36
2019-12-18,8,9,12,19,22,25
2019-12-20,1,9,16,27,38,45
2019-12-22,9,10,11,18,22,36
2019-12-25,10,18,25,26,36,43
2019-12-27,2,7,10,12,33,43
2019-12-29,7,12,21,24,35,43
2020-01-01,8,10,23,26,37,38
2020-01-03,1,15,17,26,32,44
2020-01-05,5,11,12,26,44,45
2020-01-08,2,4,10,21,25,43
2020-01-10,10,18,24,35,41,43
2020-01-12,7,12,17,21,35,45
2020-01-15,2,8,19,31,38,44
2020-01-17,8,26,28,37,40,42
2020-01-19,1,4,19,25,35,39
2020-01-22,1,15,16,34,36,42
2020-01-26,4,5,9,25,33,37
2020-01-29,3,10,16,24,39,44
2020-01-31,8,9,20,25,30,40
2020-02-02,1,4,16,32,35,38
2020-02-05,9,19,24,37,38,45
2020-02-07,6,11,15,33,40,44
2020-02-09,1,4,18,22,26,35
2020-02-12,5,13,16,20,24,35
2020-02-14,4,14,24,32,36,43
2020-02-16,1,4,14,36,37,41
2020-02-19,1,16,23,25,30,38
2020-02-21,13,15,22,28,29,41
2020-02-23,1,6,16,23,34,42
2020-02-26,2,10,12,20,24,39
2020-02-28,2,19,23,27,29,38
2020-03-01,1,6,7,13,26,39
2020-03-04,1,7,17,24,35,41
2020-03-06,6,9,10,16,26,42
2020-03-08,3,13,17,19,21,43
2020-03-11,12,16,29,35,37,44
2020-03-13,8,13,20,28,35,45
2020-03-15,4,7,11,17,19,31
2020-03-18,6,21,30,37,38,45
2020-03-20,8,23,29,37,39,44
2020-03-22,2,10,19,22,24,29
2020-03-25,26,31,33,37,38,45
2020-03-27,1,6,10,35,36,45
2020-03-29,7,10,23,36,39,44
2020-04-24,10,31,37,39,40,43
2020-04-26,5,25,30,36,37,41
2020-04-29,1,8,11,13,15,32
2020-05-01,6,7,16,37,40,44
2020-05-03,5,18,29,32,38,44
2020-05-06,3,18,25,29,30,44
2020-05-08,1,3,7,12,22,25
2020-05-10,7,9,23,32,33,37
2020-05-13,6,20,21,35,40,45
2020-05-15,3,12,13,28,33,36
2020-05-17,2,4,21,30,33,37
2020-05-20,1,8,15,23,25,39
2020-05-22,3,8,19,28,35,41
2020-05-24,1,29,30,32,34,35
2020-05-27,6,15,29,30,37,42
2020-05-29,4,10,23,26,35,37
2020-05-31,1,6,13,27,35,40
2020-06-03,1,15,17,19,40,43
2020-06-05,10,13,22,28,38,43
2020-06-07,6,7,11,16,23,44
2020-06-10,2,11,23,25,26,35
2020-06-12,5,16,22,27,30,31
2020-06-14,19,22,24,41,44,45
2020-06-17,7,16,28,33,34,45
2020-06-19,4,12,17,19,32,45
2020-06-21,7,9,13,33,40,44
2020-06-24,7,17,18,32,39,40
2020-06-26,9,23,27,30,38,41
2020-06-28,4,15,24,36,37,41
2020-07-01,10,13,14,26,32,33
2020-07-03,4,5,17,18,22,36
2020-07-05,5,8,10,17,22,31
2020-07-08,14,15,17,21,31,38
2020-07-10,18,20,22,33,35,39
2020-07-12,2,15,21,27,31,35
2020-07-15,10,11,18,19,20,45
2020-07-17,4,10,18,20,32,45
2020-07-19,1,13,14,19,42,45
2020-07-22,9,13,18,24,26,42
2020-07-24,4,25,31,35,39,41
2020-07-26,5,15,21,39,43,45
2020-07-29,6,14,26,41,42,43
2020-07-31,4,9,19,29,36,41
2020-08-02,6,9,12,17,41,42
2020-08-05,14,18,19,32,33,38
2020-08-07,17,26,35,40,43,44
2020-08-09,11,13,14,43,44,45
2020-08-12,7,21,34,38,43,44
2020-08-14,9,18,21,24,34,41
2020-08-16,2,5,6,20,33,39
2020-08-19,7,20,36,37,43,45
2020-08-21,7,8,26,30,37,43
2020-08-23,10,14,19,25,36,39
2020-08-26,2,18,24,28,35,42
2020-08-28,10,11,14,23,27,37
2020-08-30,6,8,18,19,29,33
